Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
14, 10, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
24, 0, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
14, 10, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
14, 10, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
12, 12, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
24, 0, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
24, 0, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
14, 10, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
14, 10, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
13, 11, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
23, 1, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
13, 11, 3, 0,cloth, 0.8
13, 11, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
16, 8, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
22, 2, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
18, 6, 3, 0,cloth, 0.8
19, 5, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
21, 3, 3, 0,cloth, 0.8
15, 9, 3, 0,cloth, 0.8
17, 7, 3, 0,cloth, 0.8
14, 10, 3, 0,cloth, 0.8
20, 4, 3, 0,cloth, 0.8
